lat,lon,dist_m,nearroad_inc,outdoor_pm25,infiltration,indoor_pm25
41.27435,69.19950,289,0.73,38.6,0.8,30.9
41.27921,69.18993,394,0.36,38.3,0.65,24.9
41.32651,69.19904,311,0.63,38.5,0.8,30.8
41.26418,69.18178,1111,0.00,37.9,0.8,30.3
41.33767,69.37367,324,0.58,38.5,0.8,30.8
41.33842,69.37422,229,1.09,39.0,0.65,25.3
41.35892,69.39279,268,0.84,38.7,0.8,31.0
41.34807,69.38603,1122,0.00,37.9,0.8,30.3
41.29879,69.25781,658,0.06,38.0,0.65,24.7
41.33546,69.24747,467,0.22,38.1,0.5,19.1
41.33694,69.24897,376,0.41,38.3,0.8,30.6
41.24539,69.33142,379,0.40,38.3,0.8,30.6
41.27850,69.22267,916,0.01,37.9,0.8,30.3
41.28541,69.25161,120,2.25,40.1,0.8,32.1
41.33377,69.32736,442,0.26,38.2,0.8,30.5
41.28860,69.21290,421,0.30,38.2,0.65,24.8
41.28557,69.22083,291,0.72,38.6,0.8,30.9
41.36391,69.19287,740,0.04,37.9,0.8,30.3
41.34797,69.35194,168,1.63,39.5,0.65,25.7
41.35562,69.21495,675,0.06,38.0,0.8,30.4
41.27396,69.26341,364,0.44,38.3,0.8,30.7
41.34634,69.36606,343,0.51,38.4,0.65,25.0
41.33327,69.32494,566,0.11,38.0,0.65,24.7
41.28424,69.35718,256,0.91,38.8,0.65,25.2
41.18762,69.44341,3046,0.00,37.9,0.8,30.3
41.24714,69.22456,361,0.45,38.4,0.8,30.7
41.19815,69.20968,258,0.90,38.8,0.5,19.4
41.31449,69.10673,3845,0.00,37.9,0.8,30.3
41.26895,69.31820,391,0.37,38.3,0.8,30.6
41.28226,69.16654,1456,0.00,37.9,0.8,30.3
41.25297,69.34050,882,0.01,37.9,0.65,24.6
41.25361,69.34719,666,0.06,38.0,0.5,19.0
41.20115,69.25035,1581,0.00,37.9,0.8,30.3
41.24730,69.15596,705,0.05,37.9,0.5,19.0
41.26878,69.30131,903,0.01,37.9,0.8,30.3
41.25923,69.20082,362,0.45,38.3,0.8,30.7
41.26801,69.17491,1824,0.00,37.9,0.65,24.6
41.26104,69.15730,508,0.17,38.1,0.8,30.5
41.23529,69.19090,196,1.35,39.3,0.8,31.4
41.21889,69.21615,646,0.07,38.0,0.8,30.4
41.27082,69.15848,965,0.01,37.9,0.5,19.0
41.30684,69.18915,370,0.42,38.3,0.8,30.7
41.30237,69.18470,755,0.03,37.9,0.5,19.0
41.35496,69.30257,468,0.22,38.1,0.65,24.8
41.35203,69.29848,865,0.02,37.9,0.8,30.3
41.30850,69.23549,227,1.10,39.0,0.65,25.4
41.32611,69.22599,196,1.35,39.3,0.8,31.4
41.26961,69.23471,76,3.01,40.9,0.8,32.7
41.31889,69.35533,200,1.32,39.2,0.65,25.5
41.21275,69.23325,203,1.29,39.2,0.65,25.5
41.21599,69.24092,196,1.35,39.3,0.8,31.4
41.25639,69.32918,679,0.05,38.0,0.8,30.4
41.27725,69.31280,330,0.55,38.5,0.65,25.0
41.31742,69.29814,165,1.66,39.6,0.65,25.7
41.34023,69.33455,78,2.97,40.9,0.65,26.6
41.32691,69.34523,676,0.06,38.0,0.8,30.4
41.33574,69.21831,192,1.39,39.3,0.8,31.4
41.28804,69.26004,213,1.21,39.1,0.8,31.3
41.35419,69.23786,601,0.09,38.0,0.65,24.7
41.37610,69.28697,94,2.67,40.6,0.65,26.4
41.20724,69.21655,340,0.52,38.4,0.8,30.7
41.25969,69.21163,116,2.31,40.2,0.8,32.2
41.34175,69.20059,361,0.45,38.4,0.8,30.7
41.25765,69.37605,223,1.13,39.0,0.65,25.4
41.41731,69.31239,60,3.35,41.3,0.65,26.8
41.28558,69.19999,450,0.25,38.1,0.8,30.5
41.20026,69.22853,811,0.02,37.9,0.8,30.3
41.35466,69.38818,478,0.21,38.1,0.8,30.5
41.32377,69.35348,516,0.16,38.1,0.8,30.4
41.28627,69.17885,399,0.35,38.2,0.65,24.9
41.20411,69.13903,1506,0.00,37.9,0.8,30.3
41.28281,69.19677,172,1.59,39.5,0.8,31.6
41.32459,69.27913,254,0.92,38.8,0.5,19.4
41.31784,69.32208,263,0.87,38.8,0.8,31.0
41.33455,69.43946,1066,0.00,37.9,0.8,30.3
41.22678,69.12486,1135,0.00,37.9,0.8,30.3
41.19007,69.13531,884,0.01,37.9,0.8,30.3
41.36665,69.32385,282,0.76,38.7,0.8,30.9
41.25585,69.42954,871,0.02,37.9,0.8,30.3
41.32214,69.16243,388,0.38,38.3,0.8,30.6
41.22711,69.21076,595,0.09,38.0,0.8,30.4
41.24756,69.28785,358,0.46,38.4,0.8,30.7
41.27812,69.28742,1002,0.01,37.9,0.65,24.6
41.24708,69.31426,352,0.48,38.4,0.8,30.7
41.32052,69.34713,784,0.03,37.9,0.8,30.3
41.36500,69.27599,564,0.12,38.0,0.8,30.4
41.31348,69.20318,444,0.26,38.2,0.65,24.8
41.31789,69.23436,185,1.46,39.4,0.65,25.6
41.35721,69.32663,852,0.02,37.9,0.8,30.3
41.35071,69.31691,84,2.86,40.8,0.8,32.6
41.36991,69.28961,262,0.87,38.8,0.8,31.0
41.37782,69.26227,1614,0.00,37.9,0.8,30.3
41.26403,69.21177,488,0.19,38.1,0.8,30.5
41.34930,69.34287,500,0.18,38.1,0.8,30.5
41.35107,69.34511,346,0.50,38.4,0.8,30.7
41.26862,69.25018,116,2.31,40.2,0.8,32.2
41.23859,69.25532,639,0.07,38.0,0.8,30.4
41.25701,69.31804,136,2.02,39.9,0.8,31.9
41.24731,69.29133,332,0.55,38.4,0.65,25.0
41.33285,69.22354,264,0.86,38.8,0.8,31.0
41.28298,69.34457,1319,0.00,37.9,0.5,19.0
41.28274,69.18569,327,0.57,38.5,0.8,30.8
41.29903,69.35864,571,0.11,38.0,0.65,24.7
41.27374,69.27554,453,0.24,38.1,0.5,19.1
41.37257,69.23836,1115,0.00,37.9,0.5,19.0
41.36960,69.29957,476,0.21,38.1,0.65,24.8
41.39154,69.25251,704,0.05,37.9,0.65,24.7
41.37053,69.28329,258,0.90,38.8,0.65,25.2
41.36700,69.29792,321,0.59,38.5,0.65,25.0
41.37487,69.31495,557,0.12,38.0,0.8,30.4
41.37269,69.28073,517,0.16,38.1,0.8,30.4
41.37569,69.31676,384,0.39,38.3,0.8,30.6
41.36554,69.31116,887,0.01,37.9,0.65,24.6
41.36890,69.31896,461,0.23,38.1,0.8,30.5
41.36823,69.20132,828,0.02,37.9,0.8,30.3
41.21750,69.26462,584,0.10,38.0,0.65,24.7
41.31069,69.18098,212,1.22,39.1,0.8,31.3
41.31452,69.16401,658,0.06,38.0,0.8,30.4
41.30825,69.16901,60,3.35,41.3,0.8,33.0
41.28010,69.18831,408,0.33,38.2,0.8,30.6
41.37811,69.30220,482,0.20,38.1,0.8,30.5
41.36998,69.26828,1369,0.00,37.9,0.8,30.3
41.37033,69.30612,993,0.01,37.9,0.8,30.3
41.37935,69.30372,516,0.16,38.1,0.8,30.4
41.35887,69.28347,320,0.59,38.5,0.8,30.8
41.28290,69.17323,991,0.01,37.9,0.65,24.6
41.28102,69.17483,1062,0.00,37.9,0.8,30.3
41.33141,69.37228,229,1.09,39.0,0.5,19.5
41.35437,69.38220,356,0.47,38.4,0.5,19.2
41.36296,69.38918,221,1.15,39.0,0.8,31.2
41.30902,69.19886,430,0.28,38.2,0.8,30.5
41.31008,69.24561,169,1.62,39.5,0.8,31.6
41.36837,69.26572,1322,0.00,37.9,0.65,24.6
41.26615,69.16936,1597,0.00,37.9,0.65,24.6
41.37753,69.27731,873,0.01,37.9,0.65,24.6
41.27419,69.19804,383,0.39,38.3,0.8,30.6
41.29929,69.22922,118,2.28,40.2,0.65,26.1
41.29547,69.21224,299,0.68,38.6,0.8,30.9
41.27154,69.34962,1060,0.00,37.9,0.65,24.6
41.26619,69.35537,761,0.03,37.9,0.8,30.3
41.23431,69.35101,1309,0.00,37.9,0.65,24.6
41.23374,69.33908,351,0.48,38.4,0.65,24.9
41.31345,69.23258,230,1.08,39.0,0.8,31.2
41.34456,69.24105,302,0.67,38.6,0.65,25.1
41.34819,69.34082,558,0.12,38.0,0.8,30.4
41.30418,69.15743,95,2.65,40.6,0.65,26.4
41.29832,69.16779,480,0.20,38.1,0.8,30.5
41.29855,69.15902,674,0.06,38.0,0.5,19.0
41.32111,69.17399,1066,0.00,37.9,0.8,30.3
41.29345,69.19051,291,0.72,38.6,0.5,19.3
41.28925,69.17886,165,1.66,39.6,0.65,25.7
41.34428,69.22300,506,0.17,38.1,0.8,30.5
41.29573,69.18165,391,0.37,38.3,0.65,24.9
41.24731,69.28523,330,0.55,38.5,0.65,25.0
41.26840,69.18521,1216,0.00,37.9,0.5,19.0
41.26658,69.20539,410,0.33,38.2,0.8,30.6
41.29156,69.14454,446,0.26,38.2,0.8,30.5
41.27719,69.29318,1118,0.00,37.9,0.8,30.3
41.38443,69.22004,341,0.51,38.4,0.65,25.0
41.34105,69.25030,77,2.99,40.9,0.8,32.7
41.32508,69.18767,442,0.26,38.2,0.8,30.5
41.28272,69.22676,603,0.09,38.0,0.8,30.4
41.35268,69.18519,310,0.63,38.5,0.8,30.8
41.33963,69.26372,360,0.45,38.4,0.8,30.7
41.35765,69.36895,345,0.50,38.4,0.65,25.0
41.21507,69.22883,81,2.91,40.8,0.65,26.5
41.22481,69.36700,103,2.52,40.4,0.8,32.3
41.32954,69.28769,325,0.57,38.5,0.8,30.8
41.32943,69.28939,374,0.41,38.3,0.5,19.2
41.27384,69.26536,241,1.00,38.9,0.8,31.1
41.24291,69.32478,227,1.10,39.0,0.8,31.2
41.32454,69.17095,984,0.01,37.9,0.8,30.3
41.25332,69.15053,489,0.19,38.1,0.65,24.8
41.34213,69.16905,364,0.44,38.3,0.8,30.7
41.21002,69.22402,309,0.64,38.5,0.65,25.0
41.22186,69.21406,665,0.06,38.0,0.65,24.7
41.27359,69.23025,647,0.07,38.0,0.8,30.4
41.34226,69.20742,137,2.01,39.9,0.65,25.9
41.33375,69.20522,225,1.12,39.0,0.65,25.4
41.24889,69.31085,510,0.17,38.1,0.8,30.5
41.33265,69.26287,245,0.98,38.9,0.8,31.1
41.30288,69.30726,236,1.04,38.9,0.8,31.1
41.40963,69.17828,1923,0.00,37.9,0.8,30.3
41.29082,69.15947,791,0.03,37.9,0.8,30.3
41.31520,69.17477,433,0.28,38.2,0.5,19.1
41.33977,69.29677,777,0.03,37.9,0.8,30.3
41.26364,69.19365,362,0.45,38.3,0.8,30.7
41.39583,69.20453,78,2.97,40.9,0.65,26.6
41.40641,69.19589,549,0.13,38.0,0.8,30.4
41.40051,69.19472,737,0.04,37.9,0.5,19.0
41.29559,69.20800,289,0.73,38.6,0.65,25.1
41.19475,69.21182,676,0.06,38.0,0.8,30.4
41.33609,69.35245,486,0.20,38.1,0.8,30.5
41.35354,69.33491,673,0.06,38.0,0.5,19.0
41.26740,69.16545,1491,0.00,37.9,0.65,24.6
41.35745,69.23344,548,0.13,38.0,0.5,19.0
41.31336,69.22740,501,0.18,38.1,0.8,30.5
41.29214,69.17235,468,0.22,38.1,0.65,24.8
41.34373,69.30108,1126,0.00,37.9,0.65,24.6
41.31598,69.20911,74,3.05,41.0,0.8,32.8
41.28223,69.36718,525,0.15,38.1,0.8,30.4
41.35694,69.36437,231,1.07,39.0,0.65,25.3
41.35863,69.36447,418,0.31,38.2,0.8,30.6
41.35874,69.39268,273,0.81,38.7,0.8,31.0
41.17928,69.13341,256,0.91,38.8,0.65,25.2
41.37134,69.27039,1308,0.00,37.9,0.8,30.3
41.33813,69.37365,277,0.79,38.7,0.8,31.0
41.34051,69.37183,56,3.44,41.3,0.8,33.1
41.38604,69.17089,2314,0.00,37.9,0.8,30.3
41.27216,69.27492,508,0.17,38.1,0.5,19.0
41.24319,69.14207,1604,0.00,37.9,0.65,24.6
41.39357,69.35298,2902,0.00,37.9,0.8,30.3
41.38432,69.35805,3123,0.00,37.9,0.5,19.0
41.32569,69.28790,409,0.33,38.2,0.65,24.8
41.35673,69.17401,310,0.63,38.5,0.8,30.8
41.37265,69.32503,146,1.89,39.8,0.65,25.9
41.18820,69.32889,144,1.91,39.8,0.8,31.9
41.32698,69.25779,235,1.04,38.9,0.5,19.5
41.35325,69.23285,405,0.34,38.2,0.65,24.9
41.32298,69.24765,133,2.06,40.0,0.65,26.0
41.34947,69.26634,215,1.19,39.1,0.8,31.3
41.15450,69.38674,2836,0.00,37.9,0.65,24.6
41.15882,69.34582,1620,0.00,37.9,0.8,30.3
41.33982,69.23272,72,3.09,41.0,0.8,32.8
41.30354,69.11018,3432,0.00,37.9,0.8,30.3
41.33521,69.19917,251,0.94,38.8,0.65,25.2
41.29915,69.26525,204,1.28,39.2,0.8,31.3
41.34598,69.17562,292,0.71,38.6,0.5,19.3
41.30847,69.33958,159,1.73,39.6,0.65,25.8
