way_id,seq,lat,lon,highway
22887832,55,41.3976898,69.2572903,trunk
22887832,56,41.397674,69.2575342,trunk
22887832,57,41.3976605,69.2576861,trunk
22887832,58,41.3976277,69.2580569,trunk
22887832,59,41.3976206,69.2581179,trunk
22887832,60,41.3975866,69.2584085,trunk
22887832,61,41.3975642,69.2585999,trunk
22887832,62,41.3975182,69.2588828,trunk
22887832,63,41.3974975,69.2590099,trunk
22887832,64,41.3974231,69.2593764,trunk
22887832,65,41.3974061,69.2594541,trunk
22887832,66,41.3973606,69.2596613,trunk
22887832,67,41.3973441,69.2597365,trunk
22887832,68,41.3972679,69.2600581,trunk
22887832,69,41.397183,69.2603804,trunk
22887832,70,41.3971046,69.2606489,trunk
22887832,71,41.3970936,69.2606875,trunk
22887832,72,41.3970193,69.2609496,trunk
22887840,0,41.3837385,69.2900951,trunk
22887840,1,41.3836904,69.2899389,trunk
22887840,2,41.383657,69.2897828,trunk
22887840,3,41.3836378,69.2896252,trunk
22887840,4,41.383625,69.2894686,trunk
22887840,5,41.3835995,69.2889156,trunk
22887840,6,41.3835864,69.2885355,trunk
22887840,7,41.3835799,69.2881541,trunk
22887840,8,41.3835787,69.2877739,trunk
22887840,9,41.3835821,69.2873927,trunk
22887840,10,41.3835933,69.2870089,trunk
22887840,11,41.3836119,69.2866313,trunk
22887840,12,41.3836381,69.2862581,trunk
22887840,13,41.3836679,69.2858909,trunk
22887840,14,41.3836971,69.2856102,trunk
22887840,15,41.3837331,69.2853246,trunk
22887840,16,41.3837781,69.2850148,trunk
22887840,17,41.38384,69.284683,trunk
22887840,18,41.3839125,69.2843554,trunk
22887840,19,41.3839871,69.2840532,trunk
22887840,20,41.3840413,69.2838576,trunk
22887840,21,41.384102,69.2836598,trunk
22887841,0,41.3951807,69.2285247,trunk
22887841,1,41.3947905,69.2279032,trunk
22887916,0,41.3792222,69.2201904,primary
22887916,1,41.379381,69.2200353,primary
22887916,2,41.3795402,69.2198759,primary
22887916,3,41.3797053,69.2197115,primary
22887916,4,41.3798446,69.2195728,primary
22888137,0,41.3947905,69.2279032,trunk
22888137,1,41.3936894,69.2261494,trunk
22888137,2,41.3934043,69.2256954,trunk
22888137,3,41.3928777,69.2248567,trunk
22888137,4,41.3927122,69.2245931,trunk
22888137,5,41.3905722,69.2211849,trunk
22888137,6,41.3905013,69.221072,trunk
22888137,7,41.3899886,69.2202553,trunk
22888137,8,41.3887834,69.218336,trunk
22888137,9,41.3884963,69.2178787,trunk
22888137,10,41.3879342,69.2169835,trunk
22888137,11,41.3874208,69.2161659,trunk
22888137,12,41.3872845,69.2159489,trunk
22888138,0,41.3054447,69.1517948,trunk
22888138,1,41.30581,69.1518436,trunk
22888142,0,41.30581,69.1518436,trunk
22888142,1,41.3058874,69.1518538,trunk
22888142,2,41.3064405,69.1519272,trunk
22888142,3,41.3084298,69.1521911,trunk
22888157,0,41.2528402,69.1606435,trunk
22888157,1,41.2526842,69.1608812,trunk
22888157,2,41.2523111,69.1614037,trunk
22888157,3,41.2517988,69.1620063,trunk
22888157,4,41.2512663,69.1625513,trunk
22888157,5,41.2507081,69.1630817,trunk
22888157,6,41.2504095,69.1633383,trunk
22888157,7,41.2502056,69.1634863,trunk
22888157,8,41.2498379,69.1637086,trunk
22888157,9,41.249484,69.1639074,trunk
22888157,10,41.2489415,69.1641952,trunk
22888157,11,41.2488015,69.1642559,trunk
22888157,12,41.2483523,69.1644157,trunk
22888157,13,41.2457157,69.1652939,trunk
22888157,14,41.2411587,69.1667878,trunk
22888170,0,41.2839713,69.1487858,trunk
22888170,1,41.2843546,69.1488962,trunk
22888170,2,41.2848188,69.1490194,trunk
22888170,3,41.2852855,69.1491289,trunk
22888170,4,41.2859838,69.1492903,trunk
22888170,5,41.2865153,69.1493966,trunk
22888170,6,41.286917,69.1494583,trunk
22888171,0,41.2773296,69.1465116,trunk
22888171,1,41.276576,69.1464565,trunk
22888171,2,41.2761385,69.1464603,trunk
22888171,3,41.2751069,69.146517,trunk
22888171,4,41.2750731,69.1465189,trunk
22888171,5,41.2734291,69.1466095,trunk
22888171,6,41.2732187,69.1466183,trunk
22888171,7,41.2728467,69.1466383,trunk
22888171,8,41.2727395,69.1466446,trunk
22888171,9,41.2724202,69.1466634,trunk
22888171,10,41.2722927,69.1466708,trunk
22888171,11,41.271998,69.1466881,trunk
22888171,12,41.2708009,69.1467474,trunk
22888171,13,41.2698553,69.1467942,trunk
22888171,14,41.2697813,69.1467975,trunk
22888171,15,41.2680697,69.1468988,trunk
22888171,16,41.2675486,69.1469272,trunk
22888171,17,41.2662736,69.1469964,trunk
22888171,18,41.2651336,69.1470669,trunk
22888171,19,41.2648501,69.1470969,trunk
22888171,20,41.2645665,69.1471462,trunk
22888171,21,41.2641899,69.147224,trunk
22888171,22,41.2639589,69.1472851,trunk
22888171,23,41.2637319,69.1473605,trunk
22888171,24,41.2635029,69.1474353,trunk
22888171,25,41.2632739,69.1475167,trunk
22888171,26,41.2628415,69.1476985,trunk
22888171,27,41.2624676,69.1478847,trunk
22888171,28,41.2620576,69.1481161,trunk
22888171,29,41.2616569,69.1483773,trunk
22888171,30,41.2613908,69.1485725,trunk
22888171,31,41.2611378,69.1487656,trunk
22888171,32,41.2610574,69.1488305,trunk
22888171,33,41.2609777,69.1488948,trunk
22888172,0,41.2806118,69.1476371,trunk
22888172,1,41.2814259,69.1479217,trunk
22888174,0,41.2814513,69.1477888,trunk
22888174,1,41.2806375,69.1474933,trunk
23741504,0,41.2602563,69.2254195,primary
23741504,1,41.2601578,69.2252989,primary
23741504,2,41.2601098,69.2252249,primary
25889531,0,41.319134,69.311675,trunk
25889531,1,41.3208412,69.3122097,trunk
25889532,0,41.3191677,69.311493,trunk
25889532,1,41.3185108,69.3112724,trunk
25889535,0,41.3184769,69.311456,trunk
25889535,1,41.319134,69.311675,trunk
30168663,0,41.2097177,69.3336707,trunk
30168663,1,41.2105029,69.3337809,trunk
30168663,2,41.2107063,69.3338105,trunk
30168663,3,41.2117951,69.3339557,trunk
30168663,4,41.2119561,69.3339772,trunk
30168663,5,41.2122673,69.334025,trunk
30168663,6,41.2135902,69.3342406,trunk
30168663,7,41.2145541,69.3343623,trunk
30168663,8,41.2148907,69.3344048,trunk
30168663,9,41.2156,69.3344945,trunk
30168663,10,41.2156972,69.3345067,trunk
30168663,11,41.2158037,69.3345202,trunk
30168676,0,41.1188162,69.3193859,trunk
30168676,1,41.122063,69.3191519,trunk
30168676,2,41.1242936,69.3189722,trunk
30168676,3,41.1285147,69.3186739,trunk
30168676,4,41.1294396,69.3186142,trunk
30168676,5,41.1305083,69.3185431,trunk
30168676,6,41.1312033,69.3185136,trunk
30168676,7,41.1316689,69.3185042,trunk
30168676,8,41.1327649,69.3185283,trunk
30168676,9,41.1339942,69.3185431,trunk
30168676,10,41.1348235,69.3185002,trunk
30168676,11,41.1356893,69.3184326,trunk
30168676,12,41.1358709,69.3184184,trunk
30168676,13,41.1378203,69.3182266,trunk
30168676,14,41.140212,69.3179932,trunk
30168676,15,41.1418519,69.3178779,trunk
30168676,16,41.1428914,69.3178135,trunk
30168676,17,41.1435206,69.3178041,trunk
30168676,18,41.1439017,69.3178305,trunk
30168676,19,41.1443457,69.3178967,trunk
30168676,20,41.1446043,69.3179677,trunk
30168676,21,41.1448759,69.3180415,trunk
30168676,22,41.1451193,69.318134,trunk
30168676,23,41.1455808,69.3183419,trunk
30168676,24,41.1464605,69.318759,trunk
30168676,25,41.1478581,69.3194376,trunk
30168676,26,41.1510705,69.3210389,trunk
30168676,27,41.1527276,69.3218704,trunk
30168676,28,41.1535152,69.3223156,trunk
30168676,29,41.1539433,69.3226133,trunk
30168676,30,41.1557427,69.3240148,trunk
30168676,31,41.1568165,69.3248548,trunk
30168676,32,41.1573129,69.3251909,trunk
30168676,33,41.1578117,69.3254846,trunk
