id,lat,lon
337744999,41.3781125,69.302196
337745000,41.3699757,69.2682753
337745012,41.3703278,69.306117
338446089,41.3793515,69.3037172
340857232,41.3588738,69.2834667
341114520,41.2829,69.1732299
341114521,41.2810231,69.1748307
341698682,41.3314064,69.3722817
341698683,41.3543726,69.3821975
344448723,41.3629643,69.3891837
353755974,41.3090225,69.1988631
365487750,41.3100769,69.2456063
368241434,41.3683712,69.2657166
369783750,41.2661451,69.1693614
371484176,41.3775251,69.2773147
373407522,41.2741867,69.1980372
376341685,41.2992857,69.2292173
378250075,41.2954683,69.2122366
384276372,41.2715421,69.3496162
384276373,41.2661949,69.3553716
384282711,41.2343066,69.3510098
384282714,41.2337351,69.3390755
387466294,41.3134516,69.2325784
392032286,41.3445575,69.2410541
393306641,41.3481885,69.3408238
395495453,41.3041794,69.1574284
395495454,41.2983249,69.1677925
395495455,41.2985456,69.1590215
395529996,41.3211053,69.1739871
395729322,41.2934476,69.1905053
395943845,41.2892546,69.1788611
399593858,41.3442847,69.2229973
399829026,41.295734,69.1816499
403443063,41.2473062,69.2852335
404347375,41.2683974,69.1852078
404347377,41.2665819,69.2053923
405409818,41.2915604,69.1445374
405850479,41.2771877,69.2931799
406129664,41.3844273,69.2200356
408809980,41.3410494,69.2503006
408823198,41.3250774,69.1876674
409253975,41.2827201,69.2267625
409967180,41.3526765,69.1851917
410227880,41.3396254,69.2637193
412602136,41.3576496,69.3689455
417170556,41.2150687,69.2288339
417204030,41.2248064,69.3670016
418253278,41.3295426,69.2876857
418253279,41.3294288,69.289394
418886540,41.2738378,69.2653579
420460162,41.2429079,69.3247751
420761799,41.3245386,69.1709465
420798725,41.2533246,69.1505303
421076562,41.3421301,69.1690464
421270944,41.2100198,69.2240247
422331372,41.2218611,69.2140555
422589601,41.2735933,69.2302512
422603110,41.3422577,69.2074245
423054194,41.33375,69.2052216
425974427,41.2488918,69.3108545
427981056,41.3326512,69.2628678
428379562,41.3028836,69.3072648
437282718,41.4096273,69.1782798
437402506,41.2908241,69.159474
437402507,41.3152007,69.1747659
437981067,41.3397664,69.296774
439884119,41.2636389,69.1936487
440148079,41.3958261,69.2045325
440148080,41.4064076,69.1958945
440148081,41.4005078,69.1947167
441554713,41.2955888,69.2079968
442002277,41.1947484,69.211822
443595491,41.3360862,69.3524484
443750600,41.3535377,69.3349137
444854003,41.2673975,69.1654482
444857580,41.3574488,69.2334433
445028232,41.3133649,69.2274027
446106964,41.2921391,69.1723498
449485677,41.3437319,69.3010775
450766217,41.3159751,69.2091096
455010076,41.2822348,69.3671791
460494170,41.3569425,69.3643746
460494171,41.3586255,69.3644732
460852281,41.3587434,69.3926817
461299470,41.1792825,69.1334114
461921665,41.3713416,69.2703912
464046402,41.3381282,69.3736511
464046405,41.340508,69.3718311
466581515,41.3860413,69.1708859
466584126,41.2721617,69.2749158
474288855,41.2431898,69.1420706
486693728,41.3935652,69.3529786
486767317,41.3843196,69.3580476
488402249,41.3256897,69.2878994
490653327,41.3567259,69.1740085
491131129,41.3726472,69.3250293
502806854,41.1882002,69.3288936
504136845,41.3269824,69.2577945
510369859,41.3532525,69.2328466
521748977,41.3229756,69.2476545
523270591,41.3494668,69.2663446
539003218,41.1544967,69.3867409
539954102,41.1588173,69.3458191
543832168,41.3398164,69.2327158
548509398,41.3035397,69.1101776
553817678,41.3352101,69.1991658
562708950,41.2991517,69.2652476
568768017,41.3459792,69.1756157
581603405,41.3084747,69.3395783
591218284,41.2849257,69.3273823
598014113,41.3355799,69.2327854
598274817,41.3511259,69.2540527
602971723,41.2633938,69.1827655
611141790,41.3233611,69.2070609
613707365,41.2854899,69.2284898
620061734,41.4165999,69.3102474
628550463,41.3357774,69.2860432
656421682,41.2137302,69.3399524
662915882,41.3596209,69.2207293
664583689,41.3168991,69.1817105
664583690,41.3165485,69.1821891
685593539,41.309562,69.220612
693708860,41.2873294,69.2243904
696154495,41.2286754,69.2092126
710700748,41.2240903,69.2911241
711034680,41.3419787,69.167604
711034681,41.342321,69.1675973
718780632,41.3452628,69.2170945
720877100,41.3311986,69.381536
724287499,41.28205,69.1384448
724607164,41.3073021,69.1324862
725746912,41.22383,69.2030561
744561308,41.3523511,69.286348
772754180,41.166534,69.3059796
798103074,41.3266644,69.2609959
808003716,41.3369479,69.3173296
825345705,41.215818,69.304771
863500133,41.3341808,69.4397803
863721403,41.3299599,69.2297734
890008492,41.222817,69.2036783
894828828,41.3291354,69.2941481
915518595,41.3381064,69.3422581
964568091,41.3490147,69.275387
971724151,41.1904701,69.1267554
971724166,41.1993369,69.1595829
996855006,41.2066768,69.2436187
997330827,41.2110885,69.1986656
1039511418,41.2843258,69.2975718
1054674517,41.3262875,69.2433789
1054674522,41.3300042,69.2422906
1056268205,41.3196789,69.2436249
1083837316,41.2796609,69.118505
1083842389,41.2516326,69.0989222
1083842482,41.3356387,69.1118049
1083844394,41.2431642,69.1452432
1083856395,41.2361447,69.230014
1083901466,41.3318231,69.1307436
1083905035,41.1919259,69.1531073
1083905250,41.1737013,69.1597074
1083905479,41.2180427,69.1617396
1083906846,41.2290886,69.2801178
1083907143,41.3307954,69.1515094
1084049273,41.2223951,69.1065524
1084061478,41.1868044,69.1555976
1084062598,41.2018483,69.164893
1084067126,41.2273179,69.1304456
1084068824,41.2079657,69.1854017
1084072899,41.3551725,69.1432691
1084074763,41.3617901,69.1164737
1084075196,41.3774577,69.1426865
1084078305,41.4110017,69.2297301
1084080059,41.4157675,69.1987409
1084080779,41.4199539,69.2666893
1084083386,41.4060871,69.218665
1084084559,41.4059357,69.2668889
1084086115,41.4017832,69.2849233
1084087456,41.3849424,69.3220001
1084087558,41.369708,69.1673319
1084089042,41.4137965,69.1943108
1084346325,41.2244561,69.4061005
1084346734,41.2776799,69.4476762
1084347074,41.2538523,69.4030262
1084347282,41.1970702,69.4164705
1084347433,41.1834054,69.3563899
1084348365,41.1518962,69.4507502
1084349257,41.1527099,69.422143
1085827319,41.3712416,69.3814406
1085829694,41.3668,69.4124599
1085831583,41.3911368,69.3988643
1085834840,41.3667692,69.4404818
1085839172,41.3481663,69.4318309
1085844410,41.333025,69.4065707
1085848809,41.40866,69.3954889
1085858156,41.407082,69.3083973
1085858593,41.289638,69.3908157
1085864136,41.3602824,69.344305
1087793954,41.1863554,69.3176292
1087793993,41.1580655,69.2721878
1087794687,41.1812783,69.296306
1087795540,41.1496647,69.2927336
1090739246,41.2162027,69.3238792
1090764672,41.1546896,69.2486105
1090781485,41.1815914,69.1106635
1090783741,41.2071188,69.1061672
1090797496,41.1597574,69.1144438
1090798146,41.1620287,69.1885702
1090859734,41.1614752,69.1077335
1098313423,41.4025436,69.4442576
1154762660,41.3072024,69.247632
1166114071,41.2375232,69.1717652
1196778089,41.339006,69.2649397
1205553286,41.1685447,69.2184917
1210854847,41.2125684,69.1954448
1212686630,41.2236137,69.183354
1215885914,41.3694511,69.2101599
1215886061,41.3600211,69.2191458
1218041213,41.2920146,69.2036409
1218448790,41.3288436,69.2569095
1221934340,41.2806805,69.187653
1262206718,41.3912752,69.1035149
1262899279,41.3982377,69.1146647
1262899294,41.3983303,69.1199091
1263454450,41.408849,69.1465438
1263510421,41.4107628,69.155679
1312468407,41.335121,69.2481333
1323491688,41.3136123,69.2826281
1376324530,41.3295889,69.2203085
1382050809,41.1999261,69.2222228
1382050819,41.1981345,69.217872
1391022801,41.2187303,69.1889575
1447581322,41.1723705,69.2071393
1447583039,41.1700028,69.1247748
1447741500,41.2061173,69.1207738
1447758615,41.2796554,69.1028552
1447859993,41.3073059,69.1372145
1447860711,41.2721105,69.1412641
1448157745,41.2407934,69.3663313
1450794328,41.3853579,69.4134947
1450794662,41.3772135,69.4333677
1450810721,41.3565776,69.3536788
1450811946,41.3996032,69.3654594
1450812598,41.4160241,69.4260635
1450939261,41.3987116,69.3369737
1450942292,41.4194899,69.3666009
1451213416,41.287372,69.4273399
1473355917,41.2215743,69.2167003
1491947619,41.3792885,69.3049439
1507997488,41.3514254,69.2248148
1509364258,41.3565086,69.3734819
1509370462,41.2658876,69.2305852
1509383153,41.326483,69.3182186
1509396910,41.3432401,69.2327016
1509653095,41.2991072,69.2553952
1509658140,41.2645507,69.1528726
1509892751,41.2731813,69.1952236
1509916332,41.364907,69.2625976
1510142939,41.2930288,69.1869526
1452353,41.266747,69.2374961
1456826,41.36551,69.1914306
1464483,41.2616412,69.1578767
1685893,41.3350505,69.3669612
1729150,41.2224823,69.2167539
1752814,41.3172565,69.3139965
1807538,41.2664963,69.3174003
1951466,41.3199707,69.2289739
1954324,41.3427158,69.3888329
2228675,41.2209758,69.2174976
2283793,41.2517754,69.2019475
2297293,41.2819983,69.1384217
2329743,41.3042382,69.2879065
2333885,41.2993608,69.265293
2369763,41.2756221,69.2893959
2415038,41.2934614,69.2736475
2712886,41.3080845,69.2933376
5194462,41.2919462,69.262635
5298029,41.2770001,69.177146
5522570,41.2959679,69.2834484
5588742,41.3296004,69.3243635
6630912,41.2926917,69.2993599
6667687,41.2902042,69.3185706
7130307,41.3769843,69.3159127
7462941,41.3574926,69.2897846
7720490,41.3303633,69.2785992
7786330,41.3110005,69.292893
8312422,41.2870532,69.1675614
8333584,41.3198995,69.2769084
8339112,41.355379,69.1911569
8339405,41.3581139,69.1842262
8421659,41.2823752,69.2368063
8461264,41.2853236,69.2211032
9283160,41.3294021,69.3368688
9743449,41.1906054,69.2108852
19686850,41.2595458,69.2564262
