lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
38.59410,68.75483,42.6,0.8,1.61,1605.6,0.545
38.58770,68.73682,42.8,0.8,1.40,2951.3,0.639
38.58898,68.73763,42.7,0.8,1.40,2951.3,0.638
38.51410,68.76606,35.0,0.65,1.11,1053.7,0.410
38.52114,68.75240,34.7,0.65,1.15,801.8,0.388
38.52137,68.75228,42.7,0.8,1.15,801.8,0.616
38.52067,68.74219,42.6,0.8,1.15,1178.3,0.628
38.52806,68.76665,42.9,0.8,1.11,6497.5,0.831
38.52083,68.76549,35.1,0.65,1.11,1891.5,0.441
38.54938,68.74461,43.3,0.8,1.74,6215.5,0.691
38.56074,68.75970,35.3,0.65,1.71,6711.8,0.485
38.57279,68.73313,34.7,0.65,1.77,4988.7,0.404
38.55247,68.84532,36.2,0.65,1.47,595.9,0.330
38.52092,68.75264,42.7,0.8,1.11,801.8,0.625
38.59539,68.78549,27.9,0.5,1.56,2393.3,0.143
38.55437,68.76801,42.8,0.8,1.71,5279.7,0.656
38.55487,68.76775,42.8,0.8,1.71,5279.7,0.656
38.58785,68.73119,42.7,0.8,1.40,1098.5,0.572
38.56106,68.79736,43.6,0.8,1.81,5644.1,0.658
38.57890,68.74449,35.1,0.65,1.77,5178.0,0.416
38.58968,68.77873,34.7,0.65,1.56,6606.8,0.506
38.50559,68.74151,42.6,0.8,1.16,937.9,0.618
38.55502,68.75265,26.9,0.5,1.71,6313.8,0.238
38.53632,68.74377,43.6,0.8,1.03,6088.6,0.844
38.56072,68.72497,42.6,0.8,1.09,2679.6,0.695
38.57681,68.73516,42.8,0.8,1.77,2748.5,0.553
38.57618,68.73417,26.7,0.5,1.77,2748.5,0.096
38.57603,68.73365,42.7,0.8,1.77,2748.5,0.552
38.51547,68.74936,42.6,0.8,1.15,1085.4,0.625
38.51494,68.74877,42.6,0.8,1.15,1085.4,0.625
38.56436,68.81414,27.6,0.5,1.81,3323.8,0.119
