lat,lon,rwi
43.2852028,76.8493652,1.180
43.1891572,76.8273926,1.335
43.2692057,76.9592285,1.428
43.2852028,76.8054199,0.220
43.2211892,77.0251465,0.633
43.2051753,77.0031738,0.589
43.3171844,76.7834473,0.392
43.2692057,76.9152832,1.065
43.3171844,76.9592285,1.390
43.2211892,76.8273926,1.307
43.3171844,76.8713379,0.941
43.2051753,76.9372559,1.035
43.3491491,76.9152832,1.242
43.3491491,77.0251465,0.224
43.2051753,76.8273926,1.560
43.3491491,76.8933105,0.442
43.3171844,76.8493652,0.743
43.3171844,76.9372559,1.253
43.1891572,76.7834473,1.378
43.1571083,76.9372559,-0.426
43.2692057,77.0031738,0.760
43.3331689,76.8054199,0.609
43.3171844,76.9812012,1.245
43.3491491,77.0031738,1.270
43.1731348,77.0031738,0.523
43.3011957,76.9812012,1.243
43.1571083,76.7614746,0.237
43.2532044,76.8273926,0.444
43.2692057,76.8273926,1.374
43.3011957,76.8713379,0.866
43.1571083,76.8933105,1.465
43.2371989,76.9812012,0.551
43.2692057,76.8054199,1.240
43.2211892,76.8054199,1.376
43.3171844,76.8273926,0.702
43.3491491,76.7834473,0.000
43.2051753,76.9812012,1.367
43.2852028,76.9812012,1.668
43.2371989,77.0251465,0.144
43.3491491,76.9372559,1.348
43.3331689,77.0471191,0.634
43.1731348,76.8933105,0.809
43.3491491,76.8054199,0.581
43.2051753,77.0251465,0.600
43.2532044,76.7614746,1.059
43.1731348,76.8713379,1.228
43.3331689,76.8713379,0.138
43.1731348,76.8493652,1.582
43.1571083,76.9592285,0.339
43.2211892,76.8933105,1.085
43.2852028,76.9152832,0.790
43.1891572,76.7614746,0.657
43.2211892,77.0031738,0.353
43.2532044,76.8493652,1.050
43.2051753,76.7614746,1.232
43.3171844,77.0471191,0.693
43.3491491,76.8493652,1.401
43.2852028,76.9592285,1.429
43.1571083,77.0471191,0.728
43.1571083,76.9152832,0.727
43.2532044,76.8054199,1.143
43.3491491,76.8273926,0.543
43.2692057,76.7614746,0.537
43.3011957,76.9592285,1.021
43.2692057,76.8713379,1.559
43.2211892,76.9812012,1.179
43.1571083,76.9812012,-0.114
43.2051753,76.8054199,1.699
43.3331689,76.9812012,1.136
43.2211892,76.8713379,0.863
43.3011957,76.8493652,1.207
43.2371989,76.9152832,0.837
43.1731348,76.9152832,1.182
43.2211892,76.7834473,1.197
43.2051753,76.9152832,1.081
43.1731348,77.0471191,0.839
43.2211892,76.9592285,1.224
43.1571083,76.8493652,0.729
43.2532044,77.0251465,-0.166
43.2051753,76.9592285,1.061
43.1891572,76.9812012,1.509
43.2211892,76.9152832,1.392
43.3011957,76.8054199,0.460
43.2371989,76.8493652,1.136
43.1891572,77.0251465,1.430
43.1731348,76.8273926,1.439
43.3171844,76.8933105,0.974
43.2532044,76.9812012,1.233
43.2852028,76.9372559,1.161
43.2371989,77.0031738,0.400
43.2692057,76.7834473,0.845
43.3331689,76.8933105,1.336
43.2532044,76.8713379,0.897
43.2371989,76.7614746,1.153
43.2051753,76.8713379,1.243
43.1731348,77.0251465,0.665
43.1891572,76.9372559,0.962
43.3331689,76.7614746,-0.114
43.3331689,76.8273926,0.692
43.2852028,76.7834473,-0.100
43.3331689,76.7834473,0.194
