city,lat,lon,child_u20
Tashkent,41.29540,69.20783,186.0
Tashkent,41.28865,69.21332,189.1
Tashkent,41.29181,69.20400,189.0
Tashkent,41.28490,69.20160,182.8
Tashkent,41.26405,69.21191,188.9
Tashkent,41.27470,69.20030,185.3
Tashkent,41.28342,69.19629,182.8
Tashkent,41.26312,69.18327,178.4
Tashkent,41.25146,69.20218,182.7
Tashkent,41.26294,69.18343,178.4
Tashkent,41.26814,69.17485,164.4
Tashkent,41.26167,69.21175,188.9
Tashkent,41.23821,69.17231,167.1
Tashkent,41.26133,69.15739,165.5
Tashkent,41.26632,69.16323,165.3
Tashkent,41.25944,69.20327,183.8
Tashkent,41.28596,69.22888,190.7
Tashkent,41.31621,69.19792,184.3
Tashkent,41.30940,69.22079,184.4
Tashkent,41.32703,69.25780,186.9
Tashkent,41.33939,69.26367,187.0
Tashkent,41.30874,69.23511,169.8
Tashkent,41.33527,69.19916,158.4
Tashkent,41.32349,69.20692,181.8
Tashkent,41.32663,69.22608,195.4
Tashkent,41.32614,69.24365,184.7
Tashkent,41.31347,69.23246,185.0
Tashkent,41.32283,69.24758,190.5
Tashkent,41.32009,69.22903,193.3
Tashkent,41.30841,69.23611,169.6
Tashkent,41.31318,69.22776,185.0
Tashkent,41.33358,69.20504,167.2
Tashkent,41.32967,69.22068,185.2
Tashkent,41.33055,69.20296,167.2
Tashkent,41.32633,69.26081,186.9
Tashkent,41.33133,69.21413,178.8
Tashkent,41.31256,69.19818,184.3
Tashkent,41.31565,69.20885,195.7
Tashkent,41.30549,69.21184,189.9
Tashkent,41.31646,69.20692,195.7
Tashkent,41.34175,69.20042,157.0
Tashkent,41.30315,69.20710,186.4
Tashkent,41.31376,69.20330,195.7
Tashkent,41.32648,69.19909,175.6
Tashkent,41.30290,69.21689,189.9
Tashkent,41.33317,69.16836,171.9
Tashkent,41.33796,69.17050,172.3
Tashkent,41.33953,69.17911,165.7
Tashkent,41.34575,69.17551,166.7
Tashkent,41.34261,69.16906,178.2
Tashkent,41.33977,69.18095,165.7
Tashkent,41.31782,69.23437,185.0
Tashkent,41.32359,69.25658,186.9
Tashkent,41.31988,69.27702,186.5
Tashkent,41.33020,69.27841,185.8
Tashkent,41.36960,69.29950,236.0
Tashkent,41.31843,69.28861,187.6
Tashkent,41.32581,69.28802,187.7
Tashkent,41.32925,69.28806,188.2
Tashkent,41.35910,69.28360,205.1
Tashkent,41.35488,69.30171,225.1
Tashkent,41.35240,69.28613,190.4
Tashkent,41.33588,69.28568,185.8
Tashkent,41.38084,69.27350,233.6
Tashkent,41.32478,69.27888,189.1
Tashkent,41.37023,69.26850,230.3
Tashkent,41.34842,69.27417,189.5
Tashkent,41.37919,69.30496,228.9
Tashkent,41.35360,69.33504,253.2
Tashkent,41.34350,69.30107,192.5
Tashkent,41.35197,69.29836,198.3
Tashkent,41.36596,69.31092,228.3
Tashkent,41.34933,69.26646,192.9
Tashkent,41.36520,69.27638,228.5
Tashkent,41.37060,69.28365,242.6
Tashkent,41.36971,69.28965,236.0
Tashkent,41.36734,69.29771,233.7
Tashkent,41.37813,69.30197,229.2
Tashkent,41.37025,69.30641,234.3
Tashkent,41.37563,69.31612,243.9
Tashkent,41.37472,69.31513,243.9
Tashkent,41.37724,69.27737,247.7
Tashkent,41.37249,69.28061,242.6
Tashkent,41.37917,69.28472,235.7
Tashkent,41.37585,69.28659,236.0
Tashkent,41.35753,69.28954,214.7
Tashkent,41.37927,69.30388,228.9
Tashkent,41.36698,69.32400,240.4
Tashkent,41.36930,69.31889,228.3
Tashkent,41.36393,69.27881,241.1
Tashkent,41.39154,69.25281,206.9
Tashkent,41.37762,69.26291,230.3
Tashkent,41.35735,69.32651,237.0
Tashkent,41.35839,69.28294,205.1
Tashkent,41.26950,69.23470,197.1
Tashkent,41.27404,69.26331,174.8
Tashkent,41.29398,69.24942,192.8
Tashkent,41.28536,69.25140,188.6
Tashkent,41.29909,69.25785,188.7
Tashkent,41.27357,69.22997,197.1
Tashkent,41.28815,69.26018,183.4
Tashkent,41.26870,69.25004,178.1
Tashkent,41.28917,69.24714,192.8
Tashkent,41.28199,69.23656,194.2
Tashkent,41.29173,69.26227,187.9
Tashkent,41.26164,69.22652,195.0
Tashkent,41.26706,69.23752,182.5
Tashkent,41.27451,69.26303,174.8
Tashkent,41.26931,69.23461,177.1
Tashkent,41.28205,69.36739,198.9
Tashkent,41.28985,69.31865,184.2
Tashkent,41.28609,69.35582,206.3
Tashkent,41.27531,69.34497,228.5
Tashkent,41.31738,69.31401,211.3
Tashkent,41.30391,69.28758,182.1
Tashkent,41.28256,69.34405,220.6
Tashkent,41.28110,69.34694,223.5
Tashkent,41.29857,69.35950,243.2
Tashkent,41.29195,69.32972,234.6
Tashkent,41.28670,69.32642,228.4
Tashkent,41.26689,69.31699,191.0
Tashkent,41.30104,69.30957,171.6
Tashkent,41.29435,69.34177,232.3
Tashkent,41.26915,69.31792,191.0
Tashkent,41.27169,69.34988,228.5
Tashkent,41.29465,69.34472,235.0
Tashkent,41.25313,69.34005,243.1
Tashkent,41.25365,69.34691,234.1
Tashkent,41.24528,69.33151,216.1
Tashkent,41.25940,69.32063,178.9
Tashkent,41.28588,69.34251,220.6
Tashkent,41.27610,69.35425,230.1
Tashkent,41.26600,69.35503,240.5
Tashkent,41.27695,69.31262,182.5
Tashkent,41.29388,69.34653,228.4
Tashkent,41.29208,69.36278,212.8
Tashkent,41.29351,69.36622,212.8
Tashkent,41.31027,69.32339,214.9
Tashkent,41.27912,69.30875,174.8
Tashkent,41.28579,69.33997,220.6
Tashkent,41.31629,69.31391,211.3
Tashkent,41.19984,69.22257,4531.8
Tashkent,41.19818,69.21815,4454.6
Tashkent,41.20737,69.21608,2178.4
Tashkent,41.23559,69.19081,171.5
Tashkent,41.19825,69.20991,3297.1
Tashkent,41.17738,69.24700,4581.7
Tashkent,41.22406,69.18334,164.8
Tashkent,41.19529,69.21150,4454.6
Tashkent,41.22270,69.20354,169.2
Tashkent,41.22395,69.20345,169.2
Tashkent,41.21125,69.19900,139.2
Tashkent,41.17358,69.29476,3673.4
Tashkent,41.18734,69.27654,3618.9
Tashkent,41.15641,69.42873,105.2
Tashkent,41.16871,69.21909,3680.3
Tashkent,41.18675,69.31679,3402.1
Tashkent,41.15751,69.27200,3624.3
Tashkent,41.18819,69.32885,3840.7
Tashkent,41.15820,69.34561,108.0
Tashkent,41.15480,69.38577,107.0
Tashkent,41.15963,69.34049,871.5
Tashkent,41.21620,69.30413,5280.4
Tashkent,41.22027,69.33360,241.4
Tashkent,41.21623,69.32390,5905.3
Tashkent,41.21369,69.34027,1725.5
Tashkent,41.35788,69.36870,245.4
Tashkent,41.34814,69.38723,229.4
Tashkent,41.32732,69.34510,238.0
Tashkent,41.31800,69.35344,194.0
Tashkent,41.32340,69.36110,219.4
Tashkent,41.24688,69.29849,181.4
Tashkent,41.28098,69.37031,206.8
Tashkent,41.21272,69.19516,139.2
Tashkent,41.18543,69.44025,159.8
Tashkent,41.34874,69.34041,232.8
Tashkent,41.23254,69.35786,202.6
Tashkent,41.23706,69.37226,215.1
Tashkent,41.33304,69.40699,207.7
Tashkent,41.22902,69.28047,154.0
Tashkent,41.23953,69.25469,160.4
Tashkent,41.33951,69.22337,175.7
Tashkent,41.33320,69.30405,197.1
Tashkent,41.38716,69.26016,206.9
Tashkent,41.32983,69.23000,191.3
Tashkent,41.21877,69.18939,139.4
Tashkent,41.28968,69.39062,187.4
Tashkent,41.32914,69.33672,243.2
Tashkent,41.22496,69.29034,4012.3
Tashkent,41.33619,69.42859,155.9
Tashkent,41.28028,69.18673,180.4
Tashkent,41.23602,69.23021,155.6
Tashkent,41.24120,69.36622,217.6
Tashkent,41.37288,69.35213,221.8
Tashkent,41.35772,69.36336,245.4
Tashkent,41.21695,69.24616,3550.4
Tashkent,41.35082,69.31690,175.7
Tashkent,41.30383,69.40282,166.3
Tashkent,41.29953,69.13213,174.2
Almaty,43.25484,76.96426,1453.2
Almaty,43.22892,76.91748,1351.4
Almaty,43.33390,76.94083,1252.8
Almaty,43.24197,76.76138,189.1
Almaty,43.21276,76.76223,154.3
Almaty,43.25962,76.77337,164.1
Almaty,43.17883,76.76869,152.6
Almaty,43.33729,76.88223,833.2
Almaty,43.18563,76.78218,166.5
Almaty,43.20098,76.76385,138.4
Almaty,43.21809,76.75224,154.4
