iso3,income_group,n_ref_monitors,n_anchor_cities,tier
ESP,HIC,425,222,adaptable_high_income
EST,HIC,6,6,adaptable_high_income
ETH,INX,4,3,unclassified
FIN,HIC,35,21,adaptable_high_income
FJI,UMC,0,0,near_term_deploy_anchor
FRA,HIC,376,280,adaptable_high_income
FRO,HIC,0,0,adaptable_high_income
FSM,LMC,0,0,near_term_deploy_anchor
GAB,UMC,0,0,near_term_deploy_anchor
GBR,HIC,291,135,adaptable_high_income
GEO,UMC,0,0,near_term_deploy_anchor
GHA,LMC,10,3,immediate
GIB,HIC,1,1,adaptable_high_income
GIN,LMC,1,1,immediate
GMB,LIC,0,0,near_term_deploy_anchor
GNB,LIC,0,0,near_term_deploy_anchor
GNQ,UMC,0,0,near_term_deploy_anchor
