lat,lon,dist_m,infiltration,indoor_pm25
41.27943,69.18681,546,0.65,24.7
41.32106,69.17344,1077,0.8,30.3
41.28341,69.17059,1111,0.5,19.0
41.30680,69.18690,559,0.8,30.4
41.32325,69.18023,1065,0.8,30.3
41.27673,69.17396,1473,0.8,30.3
41.32483,69.16861,789,0.8,30.3
41.31534,69.16044,463,0.8,30.5
41.30442,69.15536,91,0.8,32.5
41.30785,69.16782,43,0.8,33.3
41.29855,69.16454,728,0.8,30.4
41.28219,69.16393,1280,0.8,30.3
41.29720,69.15958,735,0.8,30.3
41.26898,69.15552,709,0.8,30.4
41.29559,69.18079,321,0.5,19.2
41.28922,69.17671,319,0.5,19.2
41.32218,69.16142,307,0.8,30.8
41.29259,69.17033,588,0.65,24.7
41.31755,69.16470,727,0.8,30.4
41.27239,69.14115,461,0.65,24.8
41.28003,69.18547,568,0.5,19.0
41.27779,69.16294,1318,0.8,30.3
41.26540,69.15001,233,0.8,31.2
41.26845,69.15556,710,0.8,30.4
41.28190,69.13887,734,0.8,30.4
41.29130,69.14477,424,0.8,30.6
41.29638,69.12489,2134,0.8,30.3
41.29465,69.21288,334,0.65,25.0
41.31005,69.24446,132,0.8,32.0
41.26818,69.18397,1303,0.5,19.0
41.28286,69.22678,591,0.8,30.4
41.26609,69.19431,414,0.8,30.6
41.26001,69.15461,270,0.8,31.0
41.29915,69.22779,206,0.8,31.3
41.26754,69.20412,272,0.8,31.0
41.27618,69.21792,778,0.8,30.3
41.28531,69.22226,401,0.65,24.9
41.27848,69.22266,918,0.8,30.3
41.27470,69.20030,216,0.8,31.3
41.28697,69.22492,338,0.8,30.7
41.29320,69.22060,40,0.8,33.4
41.28812,69.21303,378,0.8,30.6
41.29540,69.20783,299,0.8,30.9
41.28865,69.21332,397,0.65,24.9
41.29181,69.20400,465,0.8,30.5
41.28490,69.20160,583,0.65,24.7
41.26405,69.21191,478,0.8,30.5
41.27470,69.20030,216,0.8,31.3
41.28342,69.19629,135,0.5,20.0
41.26312,69.18327,940,0.8,30.3
