lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.35846,69.36216,223-sonli ixtisoslashtirilgan davlat umu,383,0.91,39.2
41.33105,69.32755,225-sonli umumiy o'rta ta'lim maktabi,242,0.03,38.9
41.35476,69.38329,248-sonli umumiy o'rta ta'lim maktabi,342,-0.3,38.1
41.34840,69.38626,256-sonli umumiy o'rta ta'lim maktabi,1093,-0.75,37.2
41.34226,69.38874,279-sonli umumiy o'rta ta'lim maktabi,977,-1.21,36.7
41.33707,69.37404,308-sonli umumiy o'rta ta'lim maktabi,360,-0.78,37.6
41.33567,69.35325,"338,Tashkent,M.Ulug'bek",492,-0.02,38.1
41.34361,69.36194,"343,Tashkent,M.Ulug'bek",100,0.4,40.9
41.33957,69.23244,11-sonli umumiy o'rta ta'lim maktabi,40,7.21,48.9
41.36863,69.20132,15-sonli umumiy o'rta ta'lim maktabi,794,4.36,42.3
41.37272,69.23817,16-sonli umumiy o'rta ta'lim maktabi,1101,7.71,45.6
41.33585,69.24762,22-sonli ixtisoslashtirilgan davlat umum,483,4.89,43.0
41.33592,69.23344,24-sonli ixtisoslashtirilgan davlat umum,18,5.46,47.8
41.27407,69.22173,28-sonli ixtisoslashtirilgan davlat umum,885,-3.35,34.6
41.35826,69.18383,29-sonli ixtisoslashtirilgan davlat umum,734,1.93,39.9
41.33616,69.21860,46-sonli umumiy o'rta ta'lim maktabi,201,4.57,43.8
41.33923,69.22323,"28,Tashkent,Olmazor",63,6.17,47.4
41.34176,69.24999,119-sonli umumiy o'rta ta'lim maktabi,143,7.04,46.9
41.35479,69.23793,133-sonli ixtisoslashtirilgan davlat umu,668,10.99,48.9
41.36854,69.19868,134-sonli umumiy o'rta ta'lim maktabi,660,3.99,41.9
41.33699,69.24917,146-sonli umumiy o'rta ta'lim maktabi,365,5.25,43.6
41.34642,69.24525,159-sonli umumiy o'rta ta'lim maktabi,176,9.31,48.8
41.36396,69.23158,165-sonli umumiy o'rta ta'lim maktabi,527,9.44,47.5
41.35280,69.23260,185-sonli umumiy o'rta ta'lim maktabi,383,10.9,49.2
41.35977,69.22121,191-sonli umumiy o'rta ta'lim maktabi,350,8.71,47.1
