lat,lon,child_u20_100m,child_u20_500m
41.32340,69.36110,2.3,57.9
41.24688,69.29849,1.8,45.1
41.28098,69.37031,2.1,48.5
41.21272,69.19516,1.1,26.7
41.18543,69.44025,2.1,46.5
41.34874,69.34041,2.4,62.0
41.23254,69.35786,2.1,52.4
41.23706,69.37226,2.0,50.6
41.33304,69.40699,2.3,55.6
41.22902,69.28047,39.4,1005.0
41.23953,69.25469,1.6,41.0
41.33951,69.22337,1.7,43.0
41.33320,69.30405,2.1,48.8
41.38716,69.26016,2.0,50.9
41.32983,69.23000,2.0,46.1
41.21877,69.18939,1.3,32.7
41.28968,69.39062,2.0,50.5
41.32914,69.33672,2.5,61.7
41.22496,69.29034,45.9,1141.9
41.33619,69.42859,1.6,43.0
41.28028,69.18673,1.7,41.8
41.23602,69.23021,1.7,43.7
41.24120,69.36622,2.0,49.7
41.37288,69.35213,2.4,58.9
41.35772,69.36336,2.3,58.1
41.21695,69.24616,39.5,984.2
41.35082,69.31690,1.9,43.5
41.30383,69.40282,2.1,51.1
41.29953,69.13213,1.7,43.4
