population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,520,Other chronic respiratory diseases,2,Percent,2021,0.0005023737539612,0.0007857929119679,0.0002871776979014
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,520,Other chronic respiratory diseases,3,Rate,2021,2.1282410218599996,3.21726033127,1.1737899248700001
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,508,Chronic respiratory diseases,1,Number,2021,726.5582333352536,1058.294680508107,475.8800041035912
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,508,Chronic respiratory diseases,2,Percent,2021,0.0176657340402861,0.0246470767178946,0.0122383743337885
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,508,Chronic respiratory diseases,3,Rate,2021,96.42050234922,140.44477104014,63.15335364515
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,1,Number,2021,53.96836190487232,79.86077642477952,31.130249189766857
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,2,Percent,2021,0.0013264878328216,0.0019528336593027,0.0008125946148279
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,3,Rate,2021,7.16206399857,10.59820923854,4.1312507758
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,510,Pneumoconiosis,1,Number,2021,0.0668927437358616,0.1372541666544463,0.0269772566373954
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,510,Pneumoconiosis,2,Percent,2021,1.6378947039e-06,3.5259274233e-06,6.101904208e-07
1,All Population,3,YLDs (Years Lived with Disability),33,Armenia,3,Both,158,<20 years,510,Pneumoconiosis,3,Rate,2021,0.008877240199999999,0.018214803840000002,0.00358011308
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,508,Chronic respiratory diseases,1,Number,2021,4090.2046359336423,6198.907548194553,2619.928759825517
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,508,Chronic respiratory diseases,2,Percent,2021,0.0186267360794112,0.0253241248500568,0.0124450357785568
1,All Population,3,YLDs (Years Lived with Disability),39,Tajikistan,3,Both,158,<20 years,508,Chronic respiratory diseases,3,Rate,2021,88.44834231257,134.04784004445,56.65446509639
