lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
41.28815,69.26018,31.3,0.8,1.28,183.4,0.498
41.26870,69.25004,32.0,0.8,1.02,178.1,0.542
41.28917,69.24714,30.7,0.8,1.28,192.8,0.488
41.28199,69.23656,31.9,0.8,1.28,194.2,0.508
41.29173,69.26227,33.1,0.8,1.28,187.9,0.528
41.26164,69.22652,33.5,0.8,1.13,195.0,0.554
41.26706,69.23752,32.7,0.8,1.02,182.5,0.554
41.27451,69.26303,30.7,0.8,1.25,174.8,0.491
41.26931,69.23461,33.0,0.8,1.13,177.1,0.545
41.28205,69.36739,30.4,0.8,0.87,198.9,0.534
41.28985,69.31865,30.3,0.8,0.82,184.2,0.538
41.28609,69.35582,30.7,0.8,0.87,206.3,0.539
41.27531,69.34497,30.3,0.8,0.89,228.5,0.531
41.31738,69.31401,33.1,0.8,1.16,211.3,0.544
41.30391,69.28758,33.5,0.8,0.78,182.1,0.596
41.28256,69.34405,30.3,0.8,0.94,220.6,0.525
41.28110,69.34694,30.3,0.8,0.87,223.5,0.533
41.29857,69.35950,30.4,0.8,1.10,243.2,0.508
41.29195,69.32972,30.3,0.8,0.94,234.6,0.525
41.28670,69.32642,30.3,0.8,0.94,228.4,0.525
41.26689,69.31699,31.3,0.8,0.67,191.0,0.574
41.30104,69.30957,30.6,0.8,1.07,171.6,0.511
41.29435,69.34177,30.3,0.8,0.96,232.3,0.523
41.26915,69.31792,30.6,0.8,0.67,191.0,0.562
41.27169,69.34988,30.3,0.8,1.15,228.5,0.499
41.29465,69.34472,24.7,0.65,0.96,235.0,0.304
41.25313,69.34005,30.3,0.8,0.90,243.1,0.530
41.25365,69.34691,30.4,0.8,1.15,234.1,0.501
41.24528,69.33151,30.6,0.8,0.90,216.1,0.534
41.25940,69.32063,31.8,0.8,1.36,178.9,0.496
41.28588,69.34251,24.6,0.65,0.94,220.6,0.304
41.27610,69.35425,30.4,0.8,1.15,230.1,0.501
41.26600,69.35503,30.3,0.8,1.15,240.5,0.499
41.27695,69.31262,25.1,0.65,0.67,182.5,0.344
41.29388,69.34653,24.7,0.65,0.87,228.4,0.315
41.29208,69.36278,30.6,0.8,0.87,212.8,0.538
41.29351,69.36622,30.4,0.8,0.87,212.8,0.534
41.31027,69.32339,30.4,0.8,1.07,214.9,0.510
41.27912,69.30875,32.4,0.8,0.82,174.8,0.573
41.28579,69.33997,30.3,0.8,0.94,220.6,0.525
41.31629,69.31391,31.7,0.8,1.16,211.3,0.520
41.19984,69.22257,30.4,0.8,1.08,4531.8,0.694
41.19818,69.21815,30.4,0.8,1.08,4454.6,0.691
41.20737,69.21608,30.7,0.8,1.08,2178.4,0.598
41.23559,69.19081,31.6,0.8,1.17,171.5,0.516
41.19825,69.20991,31.0,0.8,1.23,3297.1,0.633
41.17738,69.24700,30.3,0.8,0.58,4581.7,0.756
41.22406,69.18334,30.9,0.8,0.69,164.8,0.563
41.19529,69.21150,30.4,0.8,1.23,4454.6,0.672
41.22270,69.20354,25.2,0.65,1.03,169.2,0.300
41.22395,69.20345,25.2,0.65,1.03,169.2,0.300
41.21125,69.19900,24.7,0.65,1.23,139.2,0.266
41.17358,69.29476,26.9,0.65,0.70,3673.4,0.521
41.18734,69.27654,30.3,0.8,0.28,3618.9,0.751
41.15641,69.42873,24.9,0.65,0.15,105.2,0.401
41.16871,69.21909,25.2,0.65,0.64,3680.3,0.499
41.18675,69.31679,31.0,0.8,0.60,3402.1,0.714
41.15751,69.27200,24.7,0.65,-0.46,3624.3,0.623
41.18819,69.32885,31.8,0.8,0.73,3840.7,0.731
41.15820,69.34561,24.6,0.65,0.30,108.0,0.377
41.15480,69.38577,24.6,0.65,0.20,107.0,0.389
41.15963,69.34049,30.3,0.8,0.30,871.5,0.630
41.21620,69.30413,24.6,0.65,0.46,5280.4,0.580
41.22027,69.33360,33.1,0.8,1.07,241.4,0.557
41.21623,69.32390,30.3,0.8,1.07,5905.3,0.753
41.21369,69.34027,30.5,0.8,1.07,1725.5,0.577
41.35788,69.36870,30.7,0.8,1.59,245.4,0.453
41.34814,69.38723,24.6,0.65,1.59,229.4,0.225
41.32732,69.34510,30.4,0.8,1.41,238.0,0.470
41.31800,69.35344,31.2,0.8,1.19,194.0,0.509
41.32340,69.36110,31.8,0.8,1.19,219.4,0.520
41.24688,69.29849,30.9,0.8,1.01,181.4,0.524
41.28098,69.37031,19.0,0.5,0.91,206.8,0.088
41.21272,69.19516,25.4,0.65,1.03,139.2,0.302
41.18543,69.44025,30.3,0.8,0.68,159.8,0.554
41.34874,69.34041,24.7,0.65,1.19,232.8,0.276
41.23254,69.35786,30.3,0.8,0.90,202.6,0.528
41.23706,69.37226,24.7,0.65,1.18,215.1,0.276
41.33304,69.40699,30.3,0.8,0.72,207.7,0.551
41.22902,69.28047,24.6,0.65,1.09,154.0,0.283
41.23953,69.25469,30.4,0.8,1.49,160.4,0.457
41.33951,69.22337,32.4,0.8,1.03,175.7,0.546
41.33320,69.30405,33.0,0.8,1.15,197.1,0.544
41.38716,69.26016,30.3,0.8,1.57,206.9,0.447
41.32983,69.23000,31.3,0.8,1.03,191.3,0.529
41.21877,69.18939,24.7,0.65,0.69,139.4,0.332
41.28968,69.39062,30.3,0.8,0.58,187.4,0.567
41.32914,69.33672,30.5,0.8,1.12,243.2,0.507
41.22496,69.29034,30.3,0.8,0.77,4012.3,0.709
41.33619,69.42859,24.6,0.65,0.47,155.9,0.358
41.28028,69.18673,19.1,0.5,1.03,180.4,0.074
41.23602,69.23021,30.3,0.8,1.00,155.6,0.514
41.24120,69.36622,24.6,0.65,0.90,217.6,0.308
41.37288,69.35213,24.6,0.65,1.03,221.8,0.293
41.35772,69.36336,30.8,0.8,1.32,245.4,0.488
41.21695,69.24616,32.5,0.8,1.08,3550.4,0.687
41.35082,69.31690,26.6,0.65,1.21,175.7,0.302
41.30383,69.40282,24.6,0.65,0.77,166.3,0.323
41.29953,69.13213,19.0,0.5,1.38,174.2,0.029
