priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
298,219-sonli umumiy o'rta ta'lim maktabi,41.36985,69.21877,524,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.38,187.6,0.471,211,no,no
299,165-sonli umumiy o'rta ta'lim maktabi,41.36396,69.23158,528,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.38,177.3,0.471,214,no,no
300,257-sonli umumiy o`rta ta`lim maktabi,41.37563,69.31612,437,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.41,243.9,0.471,170,no,no
301,241-sonli umumiy o'rta ta'lim maktabi,41.32732,69.34510,647,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.41,238.0,0.47,232,no,no
302,208-sonli umumiy o'rta ta'lim maktabi,41.33532,69.36037,834,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.39,233.5,0.47,259,no,no
303,258-sonli umumiy o`rta ta`lim maktabi,41.37472,69.31513,548,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.41,243.9,0.469,217,no,no
304,"36,Tashkent,Olmazor",41.34464,69.21716,268,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,1.48,169.1,0.468,97,no,no
305,38-sonli umumiy o'rta ta'lim maktabi,41.31516,69.17394,464,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.41,164.0,0.468,182,no,no
306,10-sonli  boshlang'ich ta'lim makabi,41.30748,69.13743,1169,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.38,172.6,0.468,269,no,no
307,122-sonli umumiy o`rta ta`lim maktabi,41.36596,69.31092,911,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.41,228.3,0.467,261,no,no
308,250-ixtisoslashtirilgan davlat umumta'lim maktabi,41.37025,69.30641,1019,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.41,234.3,0.467,320,no,no
309,75-sonli umumiy o'rta ta'lim maktabi,41.32106,69.17344,1077,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.41,164.2,0.465,302,no,no
310,106-sonli umumiy o'rta ta'lim maktabi,41.32325,69.18023,1065,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.41,166.4,0.465,301,no,no
311,191-sonli umumiy o'rta ta'lim maktabi,41.35977,69.22121,350,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.48,173.1,0.463,138,no,no
312,185-sonli umumiy o'rta ta'lim maktabi,41.35280,69.23260,384,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.48,182.4,0.462,157,no,no
313,196-sonli umumiy o'rta ta'lim maktabi,41.35994,69.22003,448,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.48,173.1,0.46,179,no,no
314,224-sonli umumiy o'rta ta'lim maktabi,41.34493,69.22287,495,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.48,172.7,0.46,180,no,no
315,326-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.35573,69.21844,604,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.48,175.1,0.458,202,no,no
316,233-sonli umumiy o'rta ta'lim maktabi,41.35767,69.23353,561,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.48,178.8,0.458,212,no,no
317,302-sonli umumiy o`rta ta`lim maktabi,41.36393,69.27881,343,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.55,241.1,0.458,125,no,no
318,353-sonli umumiy o'rta ta'lim maktabi,41.23953,69.25469,534,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.49,160.4,0.457,231,no,no
319,248-sonli umumiy o'rta ta'lim maktabi,41.35476,69.38329,342,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.59,261.3,0.454,143,no,no
320,205-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.35788,69.36870,368,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.59,245.4,0.453,123,no,no
321,220-sonli umumiy o`rta ta`lim maktabi,41.36520,69.27638,567,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.55,228.5,0.452,216,no,no
322,86-sonli umumiy o`rta ta`lim maktabi,41.37023,69.26850,1383,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.55,230.3,0.451,254,no,no
323,211-sonli umumiy o'rta ta'lim maktabi,41.35461,69.38813,481,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.59,247.1,0.45,165,no,no
324,259-sonli umumiy o`rta ta`lim maktabi,41.37724,69.27737,899,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.57,247.7,0.449,316,no,no
325,354-sonli umumiy o'rta ta'lim maktabi,41.38716,69.26016,938,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.57,206.9,0.447,251,no,no
326,256-sonli umumiy o'rta ta'lim maktabi,41.34840,69.38626,1093,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.59,229.4,0.446,243,no,no
327,8-sonli umumiy o'rta ta'lim maktabi,41.17244,69.41116,113,1992-2010,0.65,26.2,40.9,YES,5.2,0.05,82.6,0.434,328,no,no
328,13-sonli umumiy o'rta ta'lim maktabi,41.22752,69.40245,3,1992-2010,0.65,27.8,43.4,YES,5.6,0.35,147.3,0.426,323,no,no
329,30-sonli umumiy o'rta ta'lim maktabi,41.15641,69.42873,384,1992-2010,0.65,24.9,38.8,YES,5.0,0.15,105.2,0.401,357,no,no
330,65-sonli umumiy o'rta ta'lim maktabi,41.15480,69.38577,2894,1992-2010,0.65,24.6,38.4,YES,4.9,0.2,107.0,0.389,418,no,no
331,32-sonli umumiy o'rta ta'lim maktabi,41.19278,69.15203,22,1992-2010,0.65,27.4,42.7,YES,5.5,0.69,156.1,0.378,324,no,no
332,58-sonli umumiy o'rta ta'lim maktabi,41.15820,69.34561,1619,1992-2010,0.65,24.6,38.4,YES,4.9,0.3,108.0,0.377,419,no,no
333,36-sonli umumiy o'rta ta'lim maktabi,41.18679,69.42786,1844,1992-2010,0.65,24.6,38.4,YES,4.9,0.33,99.4,0.374,407,no,no
334,31-sonli umumiy o'rta ta'lim maktabi,41.32355,69.44538,145,1992-2010,0.65,25.9,40.4,YES,5.2,0.55,168.4,0.371,331,no,no
335,6-sonli umumiy o'rta ta'lim maktabi,41.31543,69.39042,550,1992-2010,0.65,24.7,38.5,YES,4.9,0.45,185.0,0.365,380,no,no
336,344-sonli umumiy o'rta ta'lim maktabi,41.33619,69.42859,1103,1992-2010,0.65,24.6,38.4,YES,4.9,0.47,155.9,0.358,397,no,no
337,39-sonli umumiy o'rta ta'lim maktabi,41.15785,69.35546,2430,1992-2010,0.65,24.6,38.4,YES,4.9,0.48,98.5,0.355,404,no,no
338,334-sonli umumiy o’rta ta’lim maktabi,41.20808,69.18532,207,1992-2010,0.65,25.5,39.8,YES,5.1,0.64,105.0,0.351,336,no,no
339,13-sonli umumiy o'rta ta'lim maktabi,41.41949,69.26739,2531,1992-2010,0.65,24.6,38.4,YES,4.9,0.58,194.3,0.347,385,no,no
340,231-sonli umumiy o'rta ta'lim maktabi,41.27695,69.31262,303,1992-2010,0.65,25.1,39.1,YES,5.0,0.67,182.5,0.344,345,no,no
341,27-sonli umumiy o'rta ta'lim maktabi,41.36935,69.16686,1112,1992-2010,0.65,24.6,38.4,YES,4.9,0.61,170.3,0.342,410,no,no
342,49-sonli umumiy o'rta ta'lim maktabi,41.39896,69.33699,1902,1992-2010,0.65,24.6,38.4,YES,4.9,0.67,222.0,0.337,389,no,no
343,33-sonli umumiy o'rta ta'lim maktabi,41.18660,69.15525,680,1992-2010,0.65,24.7,38.5,YES,4.9,0.69,143.4,0.333,363,no,no
344,356-sonli umumiy o'rta ta'lim maktabi,41.21877,69.18939,540,1992-2010,0.65,24.7,38.5,YES,4.9,0.69,139.4,0.332,362,no,no
345,45-sonli umumiy o'rta ta'lim maktabi,41.41606,69.36281,1377,1992-2010,0.65,24.6,38.4,YES,4.9,0.69,144.6,0.331,403,no,no
346,251-sonli umumiy o'rta ta'lim maktabi,41.27239,69.14115,461,1992-2010,0.65,24.8,38.7,YES,5.0,0.76,168.6,0.328,359,no,no
347,235-sonli umumiy o`rta ta`lim maktabi,41.37060,69.28365,230,1992-2010,0.65,25.3,39.5,YES,5.1,0.84,242.6,0.328,338,no,no
348,30-sonli umumiy o'rta ta'lim maktabi,41.20587,69.12100,331,1992-2010,0.65,25.0,39.0,YES,5.0,0.8,147.0,0.325,347,no,no
349,10-sonli umumiy o'rta ta'lim maktabi,41.38565,69.41374,1794,1992-2010,0.65,24.6,38.4,YES,4.9,0.76,162.6,0.324,388,no,no
350,8-sonli umumiy o'rta ta'lim maktabi,41.38565,69.41374,1794,1992-2010,0.65,24.6,38.4,YES,4.9,0.76,162.6,0.324,417,no,no
351,9-sonli umumiy o'rta ta'lim maktabi,41.39619,69.20457,62,1992-2010,0.65,26.8,41.8,YES,5.4,1.06,183.6,0.324,326,no,no
352,340-sonli umumiy o'rta ta'lim maktabi,41.30383,69.40282,2040,1992-2010,0.65,24.6,38.4,YES,4.9,0.77,166.3,0.323,399,no,no
353,6-sonli umumiy o'rta ta'lim maktabi,41.20746,69.10676,604,1992-2010,0.65,24.7,38.5,YES,4.9,0.8,168.1,0.321,364,no,no
354,34-sonli umumiy o'rta ta'lim maktabi,41.20244,69.16441,147,1992-2010,0.65,25.9,40.4,YES,5.2,0.96,141.2,0.32,332,no,no
355,44-sonli umumiy o'rta ta'lim maktabi,41.17025,69.12539,181,1992-2010,0.65,25.6,39.9,YES,5.1,0.93,168.7,0.32,333,no,no
356,43-sonli umumiy o'rta ta'lim maktabi,41.17025,69.12539,181,1992-2010,0.65,25.6,39.9,YES,5.1,0.93,168.7,0.32,334,no,no
357,16-sonli umumiy o'rta ta'lim maktabi,41.37272,69.23817,1102,1992-2010,0.65,24.6,38.4,YES,4.9,0.81,182.3,0.318,393,no,no
358,Toshkent viloyati Zangiota tumani 40-sonli umumta'lim maktabi,41.22713,69.12485,1164,1992-2010,0.65,24.6,38.4,YES,4.9,0.81,147.3,0.317,414,no,no
359,244-sonli umumiy o'rta ta'lim maktabi,41.29388,69.34653,536,1992-2010,0.65,24.7,38.5,YES,4.9,0.87,228.4,0.315,368,no,no
360,19-sonli umumiy o'rta ta'lim maktabi,41.40564,69.26703,1065,1992-2010,0.65,24.6,38.4,YES,4.9,0.84,197.7,0.315,387,no,no
361,11-sonli umumiy o'rta ta'lim maktabi,41.40272,69.44426,2076,1992-2010,0.65,24.6,38.4,YES,4.9,0.85,215.0,0.315,416,no,no
362,358-sonli umumiy o'rta ta'lim maktabi,41.24120,69.36622,1310,1992-2010,0.65,24.6,38.4,YES,4.9,0.9,217.6,0.308,400,no,no
363,308-sonli umumiy o'rta ta'lim maktabi,41.33707,69.37404,360,1992-2010,0.65,24.9,38.8,YES,5.0,0.96,216.6,0.307,356,no,no
364,34-sonli umumiy o'rta ta'lim maktabi,41.30874,69.23511,268,1992-2010,0.65,25.2,39.3,YES,5.0,0.99,169.8,0.306,339,no,no
365,79-sonli umumiy o'rta ta'lim maktabi,41.29465,69.21288,334,1992-2010,0.65,25.0,39.0,YES,5.0,0.97,185.5,0.305,348,no,no
366,46-sonli umumiy o'rta ta'lim maktabi,41.33616,69.21860,201,1992-2010,0.65,25.5,39.8,YES,5.1,1.03,169.8,0.305,335,no,no
367,226-sonli umumiy o'rta ta'lim maktabi,41.28588,69.34251,1358,1992-2010,0.65,24.6,38.4,YES,4.9,0.94,220.6,0.304,383,no,no
368,204-sonli umumiy o'rta ta'lim maktabi,41.29465,69.34472,565,1992-2010,0.65,24.7,38.5,YES,4.9,0.96,235.0,0.304,366,no,no
369,332-sonli umumiy o’rta ta’lim maktabi,41.21272,69.19516,212,1992-2010,0.65,25.4,39.6,YES,5.1,1.03,139.2,0.302,337,no,no
370,4-sonli umumiy o'rta ta'lim maktabi,41.37139,69.38134,1243,1992-2010,0.65,24.6,38.4,YES,4.9,0.95,212.9,0.302,415,no,no
371,239-sonli ayrim fanlari chuqur o'qitiladigan sinflari mavjud umumiy o'rta ta'lim maktabi,41.35082,69.31690,74,1992-2010,0.65,26.6,41.5,YES,5.3,1.21,175.7,0.302,327,no,no
372,316 - sonli umumiy o'rta ta'lim maktabi,41.34261,69.16906,362,1992-2010,0.65,24.9,38.8,YES,5.0,0.99,178.2,0.301,351,no,no
373,25-sonli umumiy o'rta ta'lim maktabi,41.38500,69.32184,346,1992-2010,0.65,25.0,39.0,YES,5.0,1.02,219.5,0.301,350,no,no
374,23-sonli umumiy o'rta ta'lim maktabi,41.22998,69.37519,111,1992-2010,0.65,26.2,40.9,YES,5.2,1.18,213.9,0.301,329,no,no
375,2-sonli umumiy o'rta ta'lim maktabi,41.18179,69.11048,1678,1992-2010,0.65,24.6,38.4,YES,4.9,0.94,132.0,0.3,411,no,no
376,330-sonli umumiy o’rta ta’lim maktabi,41.22395,69.20345,255,1992-2010,0.65,25.2,39.3,YES,5.0,1.03,169.2,0.3,341,no,no
377,Янгиҳаёт тумани мактабгача ва мактаб таълими бўлими тасарруфидаги 329-сонли умумий ўрта таълим мактаби,41.22270,69.20354,273,1992-2010,0.65,25.2,39.3,YES,5.0,1.03,169.2,0.3,342,no,no
378,6-sonli umumiy o'rta ta'lim maktabi,41.30335,69.11015,3434,1992-2010,0.65,24.6,38.4,YES,4.9,0.98,190.8,0.297,402,no,no
379,37-sonli umumiy o'rta ta'lim maktabi,41.28019,69.10251,3694,1992-2010,0.65,24.6,38.4,YES,4.9,0.97,162.8,0.297,413,no,no
380,110-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.30436,69.27139,262,1992-2010,0.65,25.2,39.3,YES,5.0,1.07,190.0,0.297,343,no,no
381,7-sonli umumiy o'rta ta'lim maktabi,41.27944,69.11858,2348,1992-2010,0.65,24.6,38.4,YES,4.9,0.97,124.6,0.296,396,no,no
382,317-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.21885,69.21581,674,1992-2010,0.65,24.7,38.5,YES,4.9,1.0,177.0,0.296,374,no,no
383,"60,Tashkent,Mirobod",41.23654,69.23541,519,1992-2010,0.65,24.7,38.5,YES,4.9,1.0,156.4,0.295,376,no,no
384,182-sonli umumiy o'rta ta'lim maktabi,41.28865,69.21332,397,1992-2010,0.65,24.9,38.8,YES,5.0,1.05,189.1,0.294,354,no,no
385,Qibray tumani 42-maktab,41.37288,69.35213,1880,1992-2010,0.65,24.6,38.4,YES,4.9,1.03,221.8,0.293,398,no,no
386,55 - sonli umumiy o'rta ta'lim maktabi,41.22867,69.20947,405,1992-2010,0.65,24.9,38.8,YES,5.0,1.05,160.7,0.293,353,no,no
387,74-sonli umumiy o'rta ta'lim maktabi,41.27943,69.18681,546,1992-2010,0.65,24.7,38.5,YES,4.9,1.03,180.4,0.293,379,no,no
388,10-sonli umumiy o'rta ta'lim maktabi,41.36062,69.43320,1348,1992-2010,0.65,24.6,38.4,YES,4.9,1.0,130.4,0.293,392,no,no
389,322-sonli umumiy o'rta ta'lim maktabi,41.22657,69.21137,646,1992-2010,0.65,24.7,38.5,YES,4.9,1.03,166.7,0.292,361,no,no
390,238-sonli umumiy o'rta ta'lim maktabi,41.29259,69.17033,588,1992-2010,0.65,24.7,38.5,YES,4.9,1.03,175.9,0.292,371,no,no
391,243-sonli umumiy o'rta ta'lim maktabi,41.34291,69.20760,123,1992-2010,0.65,26.1,40.7,YES,5.2,1.22,158.8,0.292,330,no,no
392,184-sonli umumiy o'rta ta'lim maktabi,41.28490,69.20160,583,1992-2010,0.65,24.7,38.5,YES,4.9,1.05,182.8,0.29,360,no,no
393,18-umumiy o'rta ta'lim maktabi,41.40036,69.19476,738,1992-2010,0.65,24.7,38.5,YES,4.9,1.06,204.6,0.29,381,no,no
394,315-sonli umumiy o'rta ta'lim maktabi,41.38461,69.21991,345,1992-2010,0.65,25.0,39.0,YES,5.0,1.11,205.4,0.289,349,no,no
395,39-sonli boshlang`ich ta'lim maktabi,41.24308,69.14197,1599,1992-2010,0.65,24.6,38.4,YES,4.9,1.04,154.0,0.288,412,no,no
396,352-sonli umumiy o'rta ta'lim maktabi,41.22902,69.28047,839,1992-2010,0.65,24.6,38.4,YES,4.9,1.09,154.0,0.283,391,no,no
397,17-sonli umumiy o'rta ta'lim maktabi,41.40631,69.21912,1388,1992-2010,0.65,24.6,38.4,YES,4.9,1.1,200.8,0.283,384,no,no
398,23--sonli umumiy o'rta ta'lim maktabi,41.19046,69.12672,1501,1992-2010,0.65,24.6,38.4,YES,4.9,1.09,179.7,0.283,406,no,no
399,22-sonli umumiy o'rta ta'lim maktabi,41.40133,69.28438,1332,1992-2010,0.65,24.6,38.4,YES,4.9,1.13,201.9,0.28,386,no,no
400,162-sonli umumiy o'rta ta'lim maktabi,41.28531,69.22226,401,1992-2010,0.65,24.9,38.8,YES,5.0,1.17,193.2,0.28,352,no,no
401,35-sonli umumiy o'rta ta'lim maktabi,41.35980,69.38953,3,1992-2010,0.65,27.8,43.4,YES,5.6,1.59,247.1,0.28,322,no,no
402,222-sonli umumiy o'rta ta'lim maktabi,41.32194,69.35527,452,1992-2010,0.65,24.8,38.7,YES,5.0,1.19,228.1,0.278,358,no,no
403,280-sonli umumiy o'rta ta'lim maktabi,41.26133,69.15739,537,1992-2010,0.65,24.7,38.5,YES,4.9,1.15,165.5,0.277,373,no,no
404,10-sonli umumiy o'rta ta'lim maktabi,41.23683,69.37180,638,1992-2010,0.65,24.7,38.5,YES,4.9,1.18,215.1,0.276,365,no,no
405,347-sonli umumiy o'rta ta'lim maktabi,41.23706,69.37226,632,1992-2010,0.65,24.7,38.5,YES,4.9,1.18,215.1,0.276,369,no,no
406,190-sonli ayrim fanlar chuqur o'qitiladigan sinflari mavjud umumiy o'rta ta'lim maktabi,41.34874,69.34041,623,1992-2010,0.65,24.7,38.5,YES,4.9,1.19,232.8,0.276,370,no,no
407,267-sonli umumiy o'rta ta'lim maktabi,41.24733,69.22485,381,1992-2010,0.65,24.9,38.8,YES,5.0,1.2,179.5,0.275,355,no,no
408,28-sonli umumiy o'rta ta'lim maktabi,41.37802,69.24239,1566,1992-2010,0.65,24.6,38.4,YES,4.9,1.21,201.8,0.271,408,no,no
409,15-sonli umumiy o'rta ta'lim maktabi,41.36863,69.20132,794,1992-2010,0.65,24.7,38.5,YES,4.9,1.22,186.4,0.27,372,no,no
410,234-sonli umumiy o'rta ta'lim maktabi,41.36970,69.20869,1099,1992-2010,0.65,24.6,38.4,YES,4.9,1.22,190.4,0.268,395,no,no
411,"2,Tashkent,Yashnobod",41.21112,69.19886,569,1992-2010,0.65,24.7,38.5,YES,4.9,1.23,138.4,0.266,378,no,no
412,331-sonli umumiy o'rta ta'lim maktabi,41.21125,69.19900,571,1992-2010,0.65,24.7,38.5,YES,4.9,1.23,139.2,0.266,367,no,no
413,320-sonli umumiy o'rta ta'lim maktabi,41.33977,69.18095,1065,1992-2010,0.65,24.6,38.4,YES,4.9,1.25,165.7,0.264,394,no,no
414,125-sonli umumiy o'rta ta'lim maktabi,41.24681,69.30321,280,1992-2010,0.65,25.1,39.1,YES,5.0,1.36,192.6,0.259,346,no,no
415,31-sonli umumiy o'rta ta'lim maktabi,41.25050,69.30492,691,1992-2010,0.65,24.7,38.5,YES,4.9,1.36,192.6,0.253,377,no,no
416,8-sonli umumiy o'rta ta'lim maktabi,41.30747,69.13324,1516,1992-2010,0.65,24.6,38.4,YES,4.9,1.38,171.4,0.248,401,no,no
417,72-sonli umumiy o‘rta ta'lim maktabi,41.38084,69.27350,750,1992-2010,0.65,24.7,38.5,YES,4.9,1.57,233.6,0.229,375,no,no
418,327-sonli umumiy o'rta ta'lim tarmoq maktabi,41.37762,69.26291,1597,1992-2010,0.65,24.6,38.4,YES,4.9,1.57,230.3,0.227,409,no,no
419,120-sonli umumiy o'rta ta'lim maktabi,41.34814,69.38723,1145,1992-2010,0.65,24.6,38.4,YES,4.9,1.59,229.4,0.225,405,no,no
420,29-sonli umumiy o'rta ta'lim maktabi,41.39937,69.36553,2948,post-2010,0.5,19.0,29.6,no,3.8,0.53,225.8,0.136,432,no,no
421,210-sonli umumiy o'rta ta'lim maktabi,41.35946,69.39224,196,post-2010,0.5,19.6,30.6,no,3.9,0.85,247.1,0.108,421,no,no
422,339-sonli umumiy o'rta ta'lim maktabi,41.28098,69.37031,769,post-2010,0.5,19.0,29.6,no,3.8,0.91,206.8,0.088,433,no,no
423,181-sonli umumiy o'rta ta'lim maktabi,41.28342,69.19629,135,post-2010,0.5,20.0,31.2,no,4.0,1.05,182.8,0.086,420,no,no
424,209-sonli umumiy o'rta ta'lim maktabi,41.33685,69.37317,424,post-2010,0.5,19.1,29.8,no,3.8,0.96,216.6,0.084,425,no,no
425,269-sonli umumiy o'rta ta'lim maktabi,41.24663,69.25727,238,post-2010,0.5,19.5,30.4,no,3.9,1.05,163.3,0.077,422,no,no
426,229-sonli umumiy o'rta ta'lim maktabi,41.28922,69.17671,319,post-2010,0.5,19.2,29.9,no,3.8,1.03,175.9,0.075,423,no,no
427,355-sonli ayrim fanlar chuqur o'qitiladigan sinflari mavjud umumiy o'rta ta'lim maktabi,41.28028,69.18673,478,post-2010,0.5,19.1,29.8,no,3.8,1.03,180.4,0.074,426,no,no
428,78-sonli umumiy o'rta ta'lim maktabi,41.28341,69.17059,1111,post-2010,0.5,19.0,29.6,no,3.8,1.03,165.3,0.071,430,no,no
429,283-sonli umumiy o'rta ta'lim maktabi,41.28003,69.18547,568,post-2010,0.5,19.0,29.6,no,3.8,1.03,166.8,0.071,427,no,no
430,228-sonli umumiy o'rta ta'lim maktabi,41.29559,69.18079,321,post-2010,0.5,19.2,29.9,no,3.8,1.1,180.6,0.067,424,no,no
431,"326,Tashkent,Olmazor",41.36318,69.19750,1052,post-2010,0.5,19.0,29.6,no,3.8,1.22,186.4,0.049,428,no,no
432,101-sonli umumiy o'rta ta'lim maktabi,41.26818,69.18397,1303,post-2010,0.5,19.0,29.6,no,3.8,1.36,178.4,0.032,431,no,no
433,"338,Tashkent,M.Ulug'bek",41.33567,69.35325,492,post-2010,0.5,19.0,29.6,no,3.8,1.39,233.5,0.03,429,no,no
434,24-sonli umumiy o'rta ta'lim maktabi,41.29953,69.13213,1564,post-2010,0.5,19.0,29.6,no,3.8,1.38,174.2,0.029,434,no,no
