priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
44,271-sonli umumiy o‘rta ta'lim maktabi,41.37585,69.28659,119,pre-1992 (Soviet-era),0.8,32.1,50.1,YES,6.4,0.84,236.0,0.567,37,no,no
45,57-sonli umumiy o'rta ta'lim maktabi,41.16106,69.10834,651,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.59,133.7,0.565,209,no,no
46,27-sonli umumiy o'rta ta'lim maktabi,41.34158,69.33356,17,pre-1992 (Soviet-era),0.8,33.9,52.9,YES,6.8,1.12,246.8,0.564,2,no,no
47,303-sonli ixtisoslashtirilgan davlat umumta'lim maktabi,41.22406,69.18334,298,pre-1992 (Soviet-era),0.8,30.9,48.2,YES,6.2,0.69,164.8,0.563,105,no,no
48,123-sonli umumiy o'rta ta'lim maktabi,41.30442,69.15536,91,pre-1992 (Soviet-era),0.8,32.5,50.7,YES,6.5,0.91,176.6,0.563,26,no,no
49,11-sonli umumiy o'rta ta'lim maktabi,41.33957,69.23244,41,pre-1992 (Soviet-era),0.8,33.4,52.1,YES,6.7,1.03,183.3,0.563,7,no,no
50,170-sonli umumiy o'rta ta'lim maktabi,41.26915,69.31792,378,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,0.67,191.0,0.562,152,no,no
51,35-sonli umumiy o'rta ta'lim maktabi,41.17372,69.15980,1828,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.62,174.5,0.562,314,no,no
52,94-sonli umumiy o'rta ta'lim maktabi,41.29577,69.28089,181,pre-1992 (Soviet-era),0.8,31.5,49.1,YES,6.3,0.78,184.7,0.562,61,no,no
53,"254,Tashkent,Shaykhontohur",41.32359,69.25658,76,pre-1992 (Soviet-era),0.8,32.7,51.0,YES,6.5,0.99,186.9,0.558,21,no,no
54,63-sonli umumiy o`rta ta`lim maktabi,41.35240,69.28613,147,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,0.87,190.4,0.557,51,no,no
55,345-sonli umumiy o'rta ta'lim maktabi,41.22027,69.33360,53,pre-1992 (Soviet-era),0.8,33.1,51.6,YES,6.6,1.07,241.4,0.557,13,no,no
56,"28,Tashkent,Olmazor",41.33923,69.22323,63,pre-1992 (Soviet-era),0.8,32.9,51.3,YES,6.6,1.03,175.7,0.555,19,no,no
57,"33,Yuqorichirchiq,Tashkent",41.18542,69.44025,2701,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.68,159.8,0.554,290,no,no
58,27-sonli umumiy o'rta ta'lim maktabi,41.41582,69.42646,4066,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.69,185.2,0.554,263,no,no
