lat,lon,settlement_year,cohort,infiltration_obj
41.37935,69.30372,1985,Soviet (<=1991),0.8
41.35887,69.28347,1996,1992-2010,0.65
41.28290,69.17323,2002,1992-2010,0.65
41.28102,69.17483,1985,Soviet (<=1991),0.8
41.33141,69.37228,1985,Soviet (<=1991),0.8
41.35437,69.38220,1985,Soviet (<=1991),0.8
41.36296,69.38918,1995,1992-2010,0.65
41.30902,69.19886,1985,Soviet (<=1991),0.8
41.31008,69.24561,1985,Soviet (<=1991),0.8
41.36837,69.26572,1998,1992-2010,0.65
41.26615,69.16936,1985,Soviet (<=1991),0.8
41.37753,69.27731,1985,Soviet (<=1991),0.8
41.27419,69.19804,2008,1992-2010,0.65
41.29929,69.22922,1985,Soviet (<=1991),0.8
41.29547,69.21224,1985,Soviet (<=1991),0.8
41.27154,69.34962,1985,Soviet (<=1991),0.8
41.26619,69.35537,1985,Soviet (<=1991),0.8
41.23431,69.35101,1985,Soviet (<=1991),0.8
41.23374,69.33908,1985,Soviet (<=1991),0.8
41.31345,69.23258,1985,Soviet (<=1991),0.8
41.34456,69.24105,1985,Soviet (<=1991),0.8
41.34819,69.34082,1985,Soviet (<=1991),0.8
41.30418,69.15743,1985,Soviet (<=1991),0.8
41.29832,69.16779,1985,Soviet (<=1991),0.8
41.29855,69.15902,1985,Soviet (<=1991),0.8
41.32111,69.17399,1985,Soviet (<=1991),0.8
41.29345,69.19051,2012,post-2010,0.5
41.28925,69.17886,1985,Soviet (<=1991),0.8
41.34428,69.22300,2012,post-2010,0.5
41.29573,69.18165,1985,Soviet (<=1991),0.8
41.24731,69.28523,1985,Soviet (<=1991),0.8
41.26840,69.18521,1985,Soviet (<=1991),0.8
41.26658,69.20539,1985,Soviet (<=1991),0.8
41.29156,69.14454,1985,Soviet (<=1991),0.8
41.27719,69.29318,1985,Soviet (<=1991),0.8
41.38443,69.22004,1994,1992-2010,0.65
41.34105,69.25030,1985,Soviet (<=1991),0.8
41.32508,69.18767,1985,Soviet (<=1991),0.8
41.28272,69.22676,1985,Soviet (<=1991),0.8
41.35268,69.18519,1985,Soviet (<=1991),0.8
41.33963,69.26372,1985,Soviet (<=1991),0.8
41.35765,69.36895,1997,1992-2010,0.65
41.21507,69.22883,1991,Soviet (<=1991),0.8
41.22481,69.36700,1991,Soviet (<=1991),0.8
41.32954,69.28769,1985,Soviet (<=1991),0.8
41.32943,69.28939,1985,Soviet (<=1991),0.8
41.27384,69.26536,1985,Soviet (<=1991),0.8
41.24291,69.32478,1985,Soviet (<=1991),0.8
41.32454,69.17095,1985,Soviet (<=1991),0.8
41.25332,69.15053,1985,Soviet (<=1991),0.8
41.34213,69.16905,0,unknown,0.65
41.21002,69.22402,1985,Soviet (<=1991),0.8
41.22186,69.21406,1985,Soviet (<=1991),0.8
41.27359,69.23025,1985,Soviet (<=1991),0.8
41.34226,69.20742,1985,Soviet (<=1991),0.8
41.33375,69.20522,1985,Soviet (<=1991),0.8
41.24889,69.31085,2014,post-2010,0.5
41.33265,69.26287,1985,Soviet (<=1991),0.8
41.30288,69.30726,1985,Soviet (<=1991),0.8
41.40963,69.17828,1985,Soviet (<=1991),0.8
41.29082,69.15947,1985,Soviet (<=1991),0.8
41.31520,69.17477,1985,Soviet (<=1991),0.8
41.33977,69.29677,1985,Soviet (<=1991),0.8
41.26364,69.19365,1996,1992-2010,0.65
41.39583,69.20453,1994,1992-2010,0.65
41.40641,69.19589,1985,Soviet (<=1991),0.8
